platform,video_id,video_url,video_title,video_core_content,video_target_sentiment,video_cultural_context,uploader,upload_date,view_count,like_count,comment_count,share_count,duration_seconds,comment_id,comment_author,comment_author_id,comment_like_count,comment_reply_count,comment_create_time,text_norm,index_goc,commonsense,text_fully_cleaned
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,bác pi cát xô là bạn của bác hồ,1648.0,"Tri thức thường thức trong trường hợp này đề cập đến việc sử dụng tên gọi ""bác Pi cát xô"" cho Picasso và ""bác Hồ"" cho Hồ Chí Minh, đây là cách nói vui, mang tính chất hài hước và châm biếm, nhằm tạo ra sự tương phản giữa hai danh nhân nổi tiếng từ hai nền văn hóa khác nhau. Cách nói này cũng thể hiện sự thân mật và gần gũi khi mô tả các danh nhân qua những nickname hài hước, thay vì sử dụng tên chính thức của họ.",bác pi cát xô là bạn của bác hồ
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,cấm sừng nhiều thế,1649.0,"Pablo Picasso, người bạn đa tài và đa tình, đã vẽ nên cuộc đời mình bằng vô số màu sắc và sừng sỏ. Từ những bức tranh đầy sáng tạo đến những mối tình phức tạp, ông như một nghệ sĩ sống động, luôn để lại dấu ấn khó quên. Cấm sừng nhiều thế quả thật là một thách thức đối với một người đàn ông như Picasso, nhưng điều đó cũng khiến cuộc đời ông trở nên thú vị và đầy bí ẩn. Tri thức thường thức ở đây là hiểu rằng Picasso nổi tiếng không chỉ vì tài năng nghệ thuật mà còn vì cuộc sống cá nhân phong phú và phức tạp, bao gồm nhiều mối quan hệ tình cảm.",cấm sừng nhiều thế
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,cho ai chưa biết thì những người đó đều là nicki minaj nhé,1650.0,"Dường như có một sự nhầm lẫn trong bình luận của bạn. Nicki Minaj là một rapper nổi tiếng, không liên quan đến Pablo Picasso, danh họa nổi tiếng thế kỷ 20. Tôi sẽ tiếp tục câu chuyện về Picasso theo yêu cầu của bạn. --- Hãy cùng đi qua cuộc đời đầy màu sắc của Picasso! Anh ấy bắt đầu vẽ từ khi còn nhỏ, như một tài năng thiên bẩm. Trong suốt sự nghiệp kéo dài hơn nửa thế kỷ, Picasso đã thay đổi phong cách nhiều lần, từ Post-Impressionism đến Cubism, khiến giới phê bình nghệ thuật phải ngả mũ khen ngợi. Về mặt tình cảm, Picasso cũng không",cho ai chưa biết thì những người đó đều là nicki minaj nhé
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,tên bài nhạc là gì vậy mn,1651.0,"Tên bài nhạc có thể là ""Pablo Picasso's Palette of Passion and Paint"" hoặc ""The Love Affairs and Artistic Journey of Picasso"". Tri thức thường thức trong trường hợp này là việc nhận biết rằng Pablo Picasso là một danh họa nổi tiếng, người có nhiều mối tình phức tạp và cũng là một nghệ sĩ tài năng với sự nghiệp kéo dài qua nhiều thập kỷ.",tên bài nhạc là gì vậy mọi người
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,picasso năm 10 14t đz vải,1652.0,"Dựa trên thông tin bạn cung cấp, có vẻ như bạn đang đề cập đến một chi tiết nhỏ trong cuộc đời Picasso khi cậu bé 10-14 tuổi. Theo thông thường, Picasso đã thể hiện tài năng nghệ thuật từ rất sớm, thậm chí khi còn rất nhỏ. Tuy nhiên, cụ thể ""picasso năm 10 14t đz vải"" có thể cần được giải thích rõ hơn để tôi có thể đưa ra bình luận hài hước, châm biếm phù hợp về cuộc đời và sự nghiệp của Picasso. Giải thích tri thức thường thức: Picasso nổi tiếng với tài năng nghệ thuật xuất chúng từ khi còn rất nhỏ, và ông đã bắt đầu vẽ từ khi còn",picasso năm 10 14t đẹp trai vãi
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,đọc cái tên kiểu gì thế,1654.0,"Đọc tên Pablo Picasso thì có thể đọc là ""Pablo Pi-see-co"" hoặc ""Pa-blo Pi-si-co"", tùy theo người đọc và vùng miền. Tri thức thường thức ở đây là: 1. Pablo Picasso là một trong những họa sĩ nổi tiếng nhất thế kỷ 20, biết đến với nhiều phong cách và tác phẩm đa dạng. 2. Cuộc đời và sự nghiệp của Picasso cũng như các mối tình của ông thường được bàn luận rộng rãi trong giới nghệ thuật và công chúng.",đọc cái tên kiểu gì thế
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,oát đờ cái tên khai sinh,1655.0,"Bình luận: Oát đờ cái tên khai sinh của Picasso, chắc phải mất cả giờ để đọc từ từ! Giải thích tri thức thường thức: Việc sử dụng từ ngữ hài hước như ""oát đờ"" và ""chắc phải mất cả giờ để đọc từ từ"" nhằm mục đích tạo ra sự giải trí và làm nổi bật tính chất vui vẻ, đôi khi là châm biếm trong câu chuyện về cuộc đời của Picasso.",oát đờ cái tên khai sinh
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,fuck boy nhưng là hoạ sĩ,1656.0,"Pablo Picasso không chỉ là một trong những họa sĩ vĩ đại nhất thế kỷ XX mà còn là một nhân vật đầy bí ẩn và phức tạp trong lịch sử nghệ thuật. Cuộc đời và sự nghiệp của ông không chỉ gắn liền với những tác phẩm nghệ thuật xuất sắc mà còn với những mối quan hệ tình cảm đa dạng và đôi khi gây tranh cãi. Dù được biết đến như một ""fuck boy"" trong giới nghệ thuật, Picasso vẫn là một biểu tượng của tài năng và sáng tạo, chứng minh rằng dù có những khía cạnh không hoàn hảo, một con người vẫn có thể đạt được thành công lớn trong lĩnh vực mình yêu thích.",fuck boy nhưng là hoạ sĩ
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,pacasso chúa tể cắm sừng,1657.0,"Pablo Picasso, với tài năng nghệ thuật phi thường, đã để lại dấu ấn sâu sắc trong lịch sử hội họa thế giới, nhưng cuộc sống cá nhân của ông lại đầy những câu chuyện tình yêu phức tạp và nhiều cắm sừng. Phong cách hài hước, châm biếm sẽ giúp khán giả thấy được những mặt trái của một người đàn ông tài hoa nhưng cũng rất phàm tục trong tình yêu. ""Picasso chúa tể cắm sừng"" là cách nói vui vẻ, châm biếm về số lượng lớn các mối quan hệ tình cảm không ổn định trong cuộc đời của Picasso, thể hiện sự đa tình của ông trong bối cảnh hài hước.",pacasso chúa tể cắm sừng
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,chúa tể cắm sừng à 😂,1658.0,"Chủ đề này đòi hỏi phải cân nhắc kỹ lưỡng để không vi phạm quyền riêng tư hay tôn trọng các nhân vật lịch sử. Tuy nhiên, nếu nói theo phong cách hài hước, châm biếm như đề xuất, chúng ta có thể tưởng tượng Picasso như một nhà soạn nhạc rock với những mối tình phức tạp như các ca khúc tình yêu đầy biến chuyển. Mỗi mối tình của ông có thể được ví von như một bản nhạc rock khác nhau, từ ballad tình yêu buồn đến ca khúc rock nhanh với những cung bậc cảm xúc mạnh mẽ.",chúa tể cắm sừng à :face_with_tears_of_joy:
